game,platform,developer,genre,number_players,rating,release_date,metascore,user_score
Deception IV: Blood Ties,VITA,Koei Tecmo Games,Action Adventure,,M,25-Mar-14,67,75
SpinTires,PC,Oovee Game Studios,Driving,,E,12-Jun-14,67,78
Sniper Elite III,PS4,Rebellion,Shooter,Up to 12 ,M,1-Jul-14,67,69
Magical Beat,VITA,Arc System Works,Action,,E,17-Jun-14,67,63
Strike Suit Zero: Director's Cut,XONE,Born Ready Games,Action,,T,8-Apr-14,67,56
Pro Cycling Manager Season 2014: Le Tour de France,PC,Cyanide,Sports,,,19-Jun-14,67,65
Thief,PS4,Eidos Montreal,Fantasy,No Online Multiplayer,M,25-Feb-14,67,62
CounterSpy,PS4,Dynamighty,Action,,T,19-Aug-14,67,66
Football Manager Classic 2014,VITA,Sports Interactive,Sports,,,11-Apr-14,67,74
Platformines,PC,Magiko Gaming,Action,,,28-Mar-14,67,70
Silence of the Sleep,PC,Jesse Makkonen,Adventure,,,1-Oct-14,66,77
Age of Mythology: Extended Edition,PC,Ensemble Studios,Strategy,,,8-May-14,66,71
Among the Sleep,PC,Krillbite Studio,Modern,No Online Multiplayer,T,29-May-14,66,75
Sparkle 2,PS4,"10tons Ltd, 10tons",Action,,E,20-May-14,66,59
BlazeRush,PC,Targem Games,Driving,,E10+,28-Oct-14,66,82
Kirby Fighters Deluxe,3DS,HAL Labs,Action,,E,29-Aug-14,66,73
AiRace Xeno,3DS,QubicGames,Driving,,E,12-Jun-14,66,80
King Oddball,VITA,"10tons Ltd, 10tons",Miscellaneous,,E10+,4-Feb-14,66,60
Dragon Ball Z: Battle of Z,VITA,Artdink,Action,,T,28-Jan-14,66,75
KickBeat: Steam Edition,PC,Zen Studios,Action,,T,20-Jan-14,66,74
The Last Tinker: City of Colors,PS4,LOOT Entertainment,Action,,E10+,19-Aug-14,66,61
The Golf Club,PS4,HB Studios Multimedia,Traditional,Up to 4 ,E,19-Aug-14,66,64
MXGP: The Official Motocross Videogame,PS4,Milestone S.r.l,Driving,,E,18-Nov-14,66,62
CONSORTIUM,PC,Interdimensional Games Inc,Sci-Fi,No Online Multiplayer,,8-Jan-14,66,76
Assassin's Creed Liberation HD,PC,Ubisoft Sofia,Action Adventure,No Online Multiplayer,M,15-Jan-14,66,57
A Bird Story,PC,Freebird Games,General,,,7-Nov-14,66,69
Never Alone,XONE,Upper One Games,Action,,E10+,19-Nov-14,66,67
One Piece: Unlimited World Red,WIIU,Ganbarion,Action,,T,8-Jul-14,66,79
Flockers,PC,Team 17,Miscellaneous,No Online Multiplayer,T,6-May-14,66,53
Destiny of Spirits,VITA,Q Entertainment,Action,,T,25-Mar-14,66,70
NaissanceE,PC,Limasse Five,Sci-Fi,,,13-Feb-14,66,70
Concursion,PC,Puuba,General,,,6-Jun-14,66,75
Nintendo Pocket Football Club,3DS,ParityBit,Sports,,,17-Apr-14,65,74
Stronghold: Crusader II,PC,FireFly Studios,Historic,Up to 8 ,T,22-Sep-14,65,61
Elegy for a Dead World,PC,Popcannibal,General,,,10-Dec-14,65,60
Memento Mori 2,PC,,,,,13-May-14,65,75
Call of Duty: Ghosts - Onslaught,XONE,Infinity Ward,Action,,M,28-Jan-14,65,41
Flockers,XONE,Team 17,Puzzle,,T,19-Sep-14,65,49
Sunset Overdrive and the Mystery of the Mooil Rig!,XONE,Insomniac Games,Action,,M,23-Dec-14,65,72
Unrest,PC,Pyrodactyl Games,General,,,23-Jul-14,65,58
Futuridium EP Deluxe,VITA,MixedBag Srl,Action,,E,30-Sep-14,65,67
Risen 3: Titan Lords,PC,Piranha Bytes,Role-Playing,No Online Multiplayer,M,12-Aug-14,65,57
Dedede's Drum Dash Deluxe,3DS,HAL Labs,Action,,E,29-Aug-14,65,80
How to Survive: Storm Warning Edition,PS4,EKO Software,Action Adventure,2,M,4-Nov-14,65,63
Depth,PC,Digital Confectioners,Shooter,Online Multiplayer,,3-Nov-14,65,77
Yoshi's New Island,3DS,Arzest,Action,,E,14-Mar-14,64,62
The Impossible Game,PC,Grip Games,Action,,,8-May-14,64,74
Farming Simulator 15,PC,Giants Software,Simulation,,E,30-Oct-14,64,74
The Golf Club,XONE,HB Studios Multimedia,Traditional,,E,19-Aug-14,64,53
Secret Ponchos,PS4,Switchblade Monkeys,Action,Up to 8 ,T,2-Dec-14,64,66
King Oddball,PS4,"10tons Ltd, 10tons",Miscellaneous,,E10+,8-Apr-14,64,46
Borderlands 2,VITA,Iron Galaxy Studios,Shooter,2,M,6-May-14,64,77
Crimsonland,PS4,"10tons Entertainment, 10tons",Action,,T,15-Jul-14,64,62
Akiba's Trip: Undead & Undressed,VITA,Acquire,Action Adventure,,M,12-Aug-14,64,73
Whispering Willows,PC,Night Light Interactive,Miscellaneous,No Online Multiplayer,T,9-Jul-14,64,71
Chronology,PC,osao games,Action,,,12-May-14,64,68
Jet Car Stunts,VITA,True Axis,Action,,E,7-Oct-14,64,63
Tappingo,3DS,Goodbye Galaxy Games,Miscellaneous,,E,27-Feb-14,64,64
The Legend of Korra,PC,PlatinumGames,Action Adventure,,T,21-Oct-14,64,74
Gods Will Be Watching,PC,Devolver Digital,Adventure,,,24-Jul-14,64,64
The Crew,XONE,"Ubisoft Reflections, Ivory Tower",GT / Street,,T,2-Dec-14,64,57
Cubemen 2,WIIU,3 Sprockets,Action,,E10+,4-Sep-14,63,71
Sniper Elite III,XONE,Rebellion,Shooter,,M,1-Jul-14,63,66
Destiny: The Dark Below,PS4,Bungie,Sci-Fi,,T,9-Dec-14,63,31
Lemmings Touch,VITA,d3t Ltd,Miscellaneous,,E,27-May-14,63,67
Table Top Racing,VITA,Playrise Edge Ltd.,Driving,,E,5-Aug-14,63,68
Fist of Jesus,PC,Mutant Games,Action,,,17-Oct-14,63,52
"Sir, You Are Being Hunted",PC,Big Robot Ltd,Shooter,,,2-May-14,63,65
PlayStation Vita Pets,VITA,Spiral House,Simulation,,E,3-Jun-14,63,75
Quest for Infamy,PC,Infamous Quests,Adventure,,,10-Jul-14,63,74
Weapon Shop de Omasse,3DS,Nex Entertainment,Role-Playing,,T,20-Feb-14,63,74
Goat Simulator,PC,Coffee Stain Studios,Adventure,No Online Multiplayer,M,1-Apr-14,62,66
Buzz Aldrin's Space Program Manager,PC,"Slitherine, Slitherine Group",Adventure,,,31-Oct-14,62,66
Wooden Sen'SeY,WIIU,Upper Byte,Action,,E10+,24-Jul-14,62,73
Watch Dogs,WIIU,Ubisoft Romania,Modern,Up to 4 ,M,18-Nov-14,62,65
Dex,PC,"Dreadlocks Ltd, Dreadlocks",Role-Playing,No Online Multiplayer,,13-Aug-14,62,77
The Old City: Leviathan,PC,PostMod Softworks,First-Person,,,3-Dec-14,62,56
continue?9876543210,PC,Jason Oda,Action,,,3-Jan-14,62,63
Worms Battlegrounds,PS4,Team 17,Strategy,,E10+,3-Jun-14,62,59
Conception II: Children of the Seven Stars,VITA,Spike,Role-Playing,,M,15-Apr-14,62,72
WWE 2K15,PS4,Yuke's,Action,Up to 6 ,T,18-Nov-14,62,52
Conception II: Children of the Seven Stars,3DS,Spike,Role-Playing,,M,15-Apr-14,62,76
Pure Chess,WIIU,VooFoo Studios,Miscellaneous,,E,20-Mar-14,61,69
Sixty Second Shooter Prime,XONE,Happion Laboratories,Action,,E,18-Jun-14,61,72
Shadowrun Chronicles: Boston Lockdown,PC,"Cliffhanger Productions, Cliffhanger Productions",General,,,31-Mar-14,61,71
F1 Race Stars: Powered Up Edition,WIIU,Codemasters,Driving,,E,16-Jan-14,61,67
The Crew,PS4,"Ubisoft Reflections, Ivory Tower",GT / Street,Up to 8 ,T,2-Dec-14,61,53
Ryse: Son of Rome,PC,Crytek,Action Adventure,,M,10-Oct-14,61,67
A City Sleeps,PC,Harmonix Music Systems,Action,No Online Multiplayer,,16-Oct-14,61,62
F1 2014,PC,Codemasters Birmingham,Driving,,E,16-Oct-14,61,48
Flockers,PS4,Team 17,Puzzle,,T,23-Sep-14,61,45
Senran Kagura: Bon Appetit!,VITA,Meteorise,Action,,M,11-Nov-14,61,72
Kinect Sports Rivals,XONE,Microsoft Game Studios,General,,E10+,8-Apr-14,60,50
Magic: Duels of the Planeswalkers 2015,PC,Wizards of the Coast,Strategy,,T,16-Jul-14,60,32
Batman: Arkham Origins Blackgate - Deluxe Edition,PC,Armature Studio,Action Adventure,,T,1-Apr-14,60,57
Cooking Mama 5: Bon Appetit!,3DS,Cooking Mama Limited,Action,,E,16-Sep-14,60,70
Firefall,PC,Red 5 Studios,Shooter,,,29-Jul-14,60,67
NHL 15,PS4,EA Sports,Sports,,E10+,9-Sep-14,60,37
KickBeat: Special Edition,PS4,Zen Studios,Action,,T,16-Sep-14,60,38
Natural Doctrine,VITA,Kadokawa,Strategy,,M,30-Sep-14,60,72
Mind Zero,VITA,Zerodiv,Role-Playing,,T,27-May-14,59,67
Loadout,PS4,Edge of Reality,Action,,M,16-Dec-14,59,59
NBA Live 15,PS4,EA Sports,Sports,,E,28-Oct-14,59,56
Tetris Ultimate,XONE,"Ubisoft, Ubisoft San Francisco",Miscellaneous,,E,16-Dec-14,59,42
NHL 15,XONE,EA Sports,Sports,,E10+,9-Sep-14,59,31
Lifeless Planet,PC,Stage 2 Studios,Sci-Fi,No Online Multiplayer,,6-Mar-14,59,67
Schrodinger's Cat and the Raiders of the Lost Quark,PC,Italic Pig,Action,,,23-Sep-14,59,63
Abyss,WIIU,EnjoyUp Games,Action,,E,1-May-14,59,53
AeternoBlade,3DS,Corecell Technology,Action,,E10+,18-Feb-14,59,73
Murdered: Soul Suspect,PC,Airtight Games,General,No Online Multiplayer,M,3-Jun-14,59,73
Murdered: Soul Suspect,PS4,Airtight Games,Action,,M,3-Jun-14,59,69
Entwined,PS4,Pixel Opus,Action,,E,9-Jun-14,59,66
Dead Effect,PC,Dykast Lubomir,Action,No Online Multiplayer,,15-Apr-14,59,62
The Castle Doctrine,PC,Jason Rohrer,Modern,,,29-Jan-14,58,69
1954: Alcatraz,PC,Daedalic Entertainment,General,,,11-Mar-14,58,63
Secrets of Raetikon,PC,Broken Rules,Action,No Online Multiplayer,,7-Jan-14,58,71
Castlevania: Lords of Shadow 2,PC,Mercury Steam,Action Adventure,No Online Multiplayer,M,25-Feb-14,58,77
Toy Stunt Bike,3DS,Wobbly Tooth Ltd,Driving,,E,26-Jun-14,58,66
Cel Damage HD,PS4,Finish Line Games,Simulation,,T,22-Apr-14,58,61
Sacred 3,PC,Deep Silver,Action RPG,,M,31-Jul-14,57,15
Randal's Monday,PC,Nexus Game Studio,Adventure,,,12-Nov-14,57,67
Nether,PC,"Phosphor Games Studio, LLC",Sci-Fi,,,5-Jun-14,57,46
Back to Bed,PC,Bedtime Digital Games,General,No Online Multiplayer,,6-Aug-14,57,59
Jet Car Stunts,PC,True Axis,Action,,E,1-May-14,57,74
The Amazing Spider-Man 2,PC,Beenox,Action,,T,29-Apr-14,57,55
Akiba's Trip: Undead & Undressed,PS4,Acquire,Action Adventure,,M,25-Nov-14,57,69
WWE 2K15,XONE,Yuke's,Action,,T,18-Nov-14,56,55
Surgeon Simulator: Anniversary Edition,PS4,Bossa Studios,Simulation,,T,12-Aug-14,56,51
Infinity Runner,PC,Wales Interactive Ltd.,Action,,,14-Jul-14,56,65
Dead Rising 3: Fallen Angel,XONE,Capcom Vancouver,Action,,M,11-Feb-14,56,47
Run Like Hell!,VITA,Mass Creation,Action,,T,16-Sep-14,56,43
Super Toy Cars,WIIU,Eclipse Games,Driving,,E,24-Jul-14,56,64
Bound by Flame,PC,Spiders,Action RPG,No Online Multiplayer,M,8-May-14,56,68
How to Survive,WIIU,EKO Software,Action Adventure,,M,19-Jun-14,55,56
Monochroma,PC,Nowhere Studios,Action,,,28-May-14,55,68
DreadOut,PC,Digital Happiness,Action Adventure,,,15-May-14,55,64
Moebius: Empire Rising,PC,Pinkerton Road Studio,Adventure,,,15-Apr-14,54,62
SpellForce 2: Demons of the Past,PC,Mind over Matter,Strategy,,,14-Jan-14,54,66
In Space We Brawl,PS4,Forge Reply,Action,,E,14-Oct-14,54,44
The Legend of Korra,PS4,PlatinumGames,Action Adventure,,T,21-Oct-14,54,65
Hyperdimension Neptunia PP: Producing Perfection,VITA,Tamsoft,Action,,T,3-Jun-14,54,60
Tour de France 2014,PS4,Cyanide,Sports,,E,22-Jul-14,53,53
Blok Drop U,WIIU,RCMADIAX,Miscellaneous,,E,6-Mar-14,53,50
Windforge,PC,Snowed In Studios,Action,,,11-Mar-14,53,69
Ice Cream Surfer,WIIU,"Dolores Entertainment SL, Dolores Entertainment",Action,,E,4-Sep-14,53,68
Bound by Flame,PS4,Spiders,Role-Playing,No Online Multiplayer,M,6-May-14,53,58
Natural Doctrine,PS4,Kadokawa,Strategy,,M,30-Sep-14,53,60
Bit Boy!! Arcade,3DS,Bplus,Action,,E10+,17-Apr-14,53,38
Rabbids Invasion,XONE,Ubisoft,Action,,E10+,18-Nov-14,53,60
NBA Live 15,XONE,EA Sports,Sports,,E,28-Oct-14,53,68
Yu-Gi-Oh! Zexal: World Duel Carnival,3DS,Konami,Strategy,,E10+,25-Sep-14,52,54
Escape Dead Island,PC,Fatshark AB,Action Adventure,,M,18-Nov-14,52,36
Worlds of Magic,PC,Wastelands Interactive,General,,,20-Sep-14,52,55
Dead Rising 3: Operation Broken Eagle,XONE,,Action,,M,21-Jan-14,52,42
Jagged Alliance: Flashback,PC,"Full Control ApS, Full Control",Strategy,No Online Multiplayer,,15-May-14,52,43
Enemy Front,PC,CI Games,Shooter,,M,10-Jun-14,52,57
Dead Rising 3: The Last Agent,XONE,Capcom Vancouver,Action,,M,18-Mar-14,51,43
Daylight,PC,Zombie Studios,Horror,,M,29-Apr-14,51,43
Murdered: Soul Suspect,XONE,Airtight Games,Action,,M,3-Jun-14,51,71
Dead Rising 3: Chaos Rising,XONE,Capcom Vancouver,Action,,M,21-Feb-14,50,36
Transformers: Rise of the Dark Spark,PC,Edge of Reality,Action Adventure,,T,24-Jun-14,49,47
Chibi-Robo! Photo Finder,3DS,Skip Ltd.,Action,,E,9-Jan-14,49,75
Yaiba: Ninja Gaiden Z,PC,"Spark Unlimited, comcept",Action Adventure,,M,21-Mar-14,49,60
Blue Estate,PS4,HeSaw,Action,,M,24-Jun-14,49,60
LIGHT,PC,Just A Pixel,Miscellaneous,,,14-Jul-14,49,51
The Amazing Spider-Man 2,PS4,Beenox,Action,,T,29-Apr-14,49,52
The Legend of Korra,XONE,PlatinumGames,Action Adventure,,T,22-Oct-14,49,64
Daylight,PS4,Zombie Studios,Horror,,M,29-Apr-14,48,46
Transformers: Rise of the Dark Spark,XONE,Edge of Reality,Action Adventure,,T,24-Jun-14,47,50
Sonic Boom: Shattered Crystal,3DS,Sanzaru Games,Action,,E,11-Nov-14,47,60
SingStar: Ultimate Party,PS4,SCEE,Miscellaneous,,,24-Oct-14,47,41
The Amazing Spider-Man 2,XONE,Beenox,Action,,T,29-Apr-14,46,48
Harvest Moon 3D: The Lost Valley,3DS,Natsume,Strategy,,E,4-Nov-14,46,42
Deus Ex: The Fall,PC,Square Enix,Action,No Online Multiplayer,M,17-Mar-14,45,30
Power Rangers Super Megaforce,3DS,"Bandai Namco Games, 7thChord",Action,,E10+,28-Oct-14,43,60
Transformers: Rise of the Dark Spark,PS4,Edge of Reality,Action Adventure,,T,24-Jun-14,43,43
One Piece: Romance Dawn,3DS,Bandai Namco Games,Role-Playing,,T,11-Feb-14,42,67
Wayward Manor,PC,Moonshark,General,,,15-Jul-14,41,44
4PM,PC,Bojan Brbora,Adventure,,,9-Jul-14,41,42
Putty Squad,PS4,System 3,Action,,E10+,11-Mar-14,38,30
Fluster Cluck,PS4,LOOT Entertainment,Action,,E,21-Oct-14,37,44
Rambo: The Video Game,PC,Teyon,Action,No Online Multiplayer,M,21-Feb-14,34,16
Rekoil,PC,Plastic Piranha,Action,,,28-Jan-14,32,22
Sonic Boom: Rise of Lyric,WIIU,Big Red Button Entertainment,General,,E10+,11-Nov-14,32,35
Air Conflicts: Vietnam Ultimate Edition,PS4,"bitComposer Entertainment AG, bitComposer",Action,,T,16-Sep-14,30,16
Basement Crawl,PS4,Bloober Team,Action,,T,25-Feb-14,27,28
Tenkai Knights: Brave Battle,3DS,Bandai Namco Games,Action,,E10+,7-Oct-14,26,27
Grand Theft Auto V,PC,Rockstar North,Modern,Up to 32 ,M,14-Apr-15,96,77
Metal Gear Solid V: The Phantom Pain,XONE,"Kojima Productions, Moby Dick Studio",Modern,Up to 16 ,M,1-Sep-15,95,74
The Witcher 3: Wild Hunt,PC,CD Projekt Red Studio,Action RPG,No Online Multiplayer,M,18-May-15,93,94
Metal Gear Solid V: The Phantom Pain,PS4,"Kojima Productions, Moby Dick Studio",Modern,Up to 16 ,M,1-Sep-15,93,82
Journey,PS4,Tricky Pixels,Action,2,E,21-Jul-15,92,84
Bloodborne,PS4,From Software,Fantasy,Up to 5 ,M,24-Mar-15,92,89
The Witcher 3: Wild Hunt,PS4,CD Projekt Red Studio,Action RPG,No Online Multiplayer,M,19-May-15,92,92
Undertale,PC,tobyfox,Role-Playing,No Online Multiplayer,,15-Sep-15,92,83
The Witcher 3: Wild Hunt,XONE,CD Projekt Red Studio,Action RPG,No Online Multiplayer,M,19-May-15,91,92
Metal Gear Solid V: The Phantom Pain,PC,Kojima Productions,Action Adventure,Up to 16 ,M,1-Sep-15,91,78
Shovel Knight,PS4,Yacht Club Games,Action,,E,21-Apr-15,90,77
Mario Kart 8 DLC Pack 2,WIIU,Nintendo,Driving,,E,23-Apr-15,90,89
Tales From The Borderlands: Episode 5 - The Vault of the Traveler,PS4,Telltale Games,Adventure,,M,20-Oct-15,90,80
The Witcher 3: Wild Hunt - Hearts of Stone,PS4,CD Projekt Red Studio,Role-Playing,,M,12-Oct-15,90,88
The Witcher 3: Wild Hunt - Hearts of Stone,PC,CD Projekt Red Studio,Role-Playing,,M,13-Oct-15,89,91
The Legend of Zelda: Majora's Mask 3D,3DS,GREZZO,Fantasy,No Online Multiplayer,E10+,13-Feb-15,89,89
Pillars of Eternity,PC,Obsidian Entertainment,PC-style RPG,No Online Multiplayer,M,26-Mar-15,89,83
3D Gunstar Heroes,3DS,M2,Action,,E10+,20-Aug-15,89,79
Dark Souls II: Scholar of the First Sin,XONE,From Software,Role-Playing,Up to 6 ,T,7-Apr-15,89,77
3D Streets of Rage II,3DS,M2,Action,,E10+,23-Jul-15,89,75
Bastion,PS4,Supergiant Games,Role-Playing,,E10+,7-Apr-15,89,78
Destiny: The Taken King,XONE,"Bungie Software, Bungie",Action,,T,15-Sep-15,89,52
Fallout 4,XONE,Bethesda Game Studios,General,No Online Multiplayer,M,10-Nov-15,88,64
Nuclear Throne,PC,Vlambeer,General,No Online Multiplayer,,5-Dec-15,88,76
Super Mario Maker,WIIU,Nintendo,Action,No Online Multiplayer,E,11-Sep-15,88,87
Divinity: Original Sin Enhanced Edition,XONE,Larian Studios Games Ltd,Role-Playing,,M,27-Oct-15,88,77
Kerbal Space Program,PC,"SQUADTeam, Squad",Sci-Fi,No Online Multiplayer,,27-Apr-15,88,82
Divinity: Original Sin Enhanced Edition,PS4,Larian Studios Games Ltd,Role-Playing,2,M,27-Oct-15,88,79
Ori and the Blind Forest,XONE,Moon Studios,Action,No Online Multiplayer,E,11-Mar-15,88,86
Starcraft II: Legacy of the Void,PC,Blizzard Entertainment,Sci-Fi,,T,10-Nov-15,88,83
The Talos Principle,PS4,Croteam,Adventure,,E10+,13-Oct-15,88,82
Ori and the Blind Forest,PC,Moon Studios,Action,No Online Multiplayer,E,11-Mar-15,88,87
Bloodborne: The Old Hunters,PS4,From Software,Role-Playing,,M,24-Nov-15,87,90
Oddworld: Abe's Oddysee - New 'n' Tasty,PC,Just Add Water,Action,No Online Multiplayer,T,25-Feb-15,87,77
Crypt of the NecroDancer,PC,Brace Yourself Games,Action,,,23-Apr-15,87,77
Batman: Arkham Knight,PS4,Rocksteady Studios,General,No Online Multiplayer,M,23-Jun-15,87,78
Forza Motorsport 6,XONE,Turn 10,Driving,Up to 24 ,E,15-Sep-15,87,77
Skylanders SuperChargers,WIIU,Vicarious Visions,Action,,E10+,20-Sep-15,87,56
3D Sonic the Hedgehog 2,3DS,M2,Action,,E,8-Oct-15,87,83
Pro Evolution Soccer 2016,PS4,Konami,Sports,Up to 22 ,E,15-Sep-15,87,72
3D Out Run,3DS,M2,Driving,No Online Multiplayer,E,12-Mar-15,87,83
Dark Souls II: Scholar of the First Sin,PS4,From Software,Role-Playing,Up to 6 ,T,7-Apr-15,87,80
NBA 2K16,PS4,Visual Concepts,Action,Up to 10 ,E10+,25-Sep-15,87,67
Fallout 4,PS4,Bethesda Game Studios,General,No Online Multiplayer,M,10-Nov-15,87,66
Tales From The Borderlands: Episode 5 - The Vault of the Traveler,PC,Telltale Games,Adventure,,,20-Oct-15,86,87
Uncharted: The Nathan Drake Collection,PS4,Bluepoint Games,Miscellaneous,,T,9-Oct-15,86,85
Tales from the Borderlands: A Telltale Game Series,PS4,Telltale Games,Adventure,,M,20-Oct-15,86,81
Final Fantasy XIV: Heavensward,PC,Square Enix,Massively Multiplayer Online,,T,23-Jun-15,86,84
Shovel Knight,XONE,Yacht Club Games,Action,,E,21-Apr-15,86,77
DmC: Devil May Cry Definitive Edition,XONE,"Ninja Theory, QLOC",Fantasy,,M,10-Mar-15,86,75
Monster Hunter 4 Ultimate,3DS,Capcom,Role-Playing,Up to 4 ,T,13-Feb-15,86,86
NBA 2K16,XONE,Visual Concepts,Action,Up to 10 ,E10+,25-Sep-15,86,61
Her Story,PC,Sam Barlow,Adventure,No Online Multiplayer,,24-Jun-15,86,60
Homeworld Remastered Collection,PC,Gearbox Software,Miscellaneous,,E10+,25-Feb-15,86,82
Rise of the Tomb Raider,XONE,Crystal Dynamics,Fantasy,No Online Multiplayer,M,10-Nov-15,86,80
SteamWorld Heist,3DS,Image & Form,Sci-Fi,,E10+,10-Dec-15,86,83
Final Fantasy XIV: Heavensward,PS4,Square Enix,Massively Multiplayer Online,,T,23-Jun-15,86,83
Destiny: The Taken King,PS4,,,,,15-Sep-15,86,62
Heroes of the Storm,PC,Blizzard Entertainment,Action,Up to 10 ,T,2-Jun-15,86,64
Code:Realize - Guardian of Rebirth,VITA,Otomate,Adventure,,T,20-Oct-15,86,80
OlliOlli2: Welcome to Olliwood,PS4,roll7,Sports,,T,3-Mar-15,86,65
Mortal Kombat X,XONE,"Warner Bros. Interactive Entertainment, NetherRealm Studios",Action,Up to 10 ,M,14-Apr-15,86,75
Gunman Clive HD Collection,WIIU,Horberg Productions,Miscellaneous,,E10+,3-Sep-15,86,81
Xenoblade Chronicles 3D,3DS,Monster Games Inc.,Role-Playing,No Online Multiplayer,T,10-Apr-15,86,89
DiRT Rally,PC,Codemasters,Racing,,E,7-Dec-15,86,87
Rocket League,PC,Psyonix,Sports,,E,5-Jul-15,86,82
Cities: Skylines,PC,Colossal Order,City Building,No Online Multiplayer,E,10-Mar-15,85,89
OlliOlli2: Welcome to Olliwood,VITA,roll7,Sports,,T,3-Mar-15,85,70
Tales from the Borderlands: A Telltale Game Series,PC,Telltale Games,Adventure,,M,20-Oct-15,85,85
Batman: Arkham Knight,XONE,Rocksteady Studios,General,No Online Multiplayer,M,23-Jun-15,85,68
Life is Strange,PS4,DONTNOD Entertainment,Sci-Fi,No Online Multiplayer,M,20-Oct-15,85,86
Rocket League,PS4,"Psyonix, Panic Button",Racing,Up to 8 ,E,7-Jul-15,85,85
The Binding of Isaac: Afterbirth,PC,Nicalis,Action,,M,30-Oct-15,85,82
Chaos Reborn,PC,Snapshot Games Inc.,Fantasy,,,26-Oct-15,85,81
Resogun: Defenders,PS4,Housemarque,Action,,E10+,17-Feb-15,85,71
Zenzizenzic,PC,Ruud Koorevaar,Action,,,23-Jul-15,85,61
Mega Man Legacy Collection,PC,Digital Eclipse,Miscellaneous,No Online Multiplayer,E,24-Aug-15,85,77
Pro Evolution Soccer 2016,XONE,Konami,Sports,,E,15-Sep-15,85,61
System Shock: Enhanced Edition,PC,Looking Glass Studios,Action Adventure,No Online Multiplayer,,22-Sep-15,85,84
Super Meat Boy,PS4,Team Meat,Action,,T,6-Oct-15,85,70
Rare Replay,XONE,"Rare Ltd., Code Mystics Inc.",Miscellaneous,Up to 32 ,M,4-Aug-15,84,80
Freedom Planet,WIIU,GalaxyTrail,Action,No Online Multiplayer,E10+,20-Aug-15,84,85
Shin Megami Tensei: Devil Survivor 2 Record Breaker,3DS,Atlus,Role-Playing,No Online Multiplayer,T,5-May-15,84,39
Halo 5: Guardians,XONE,343 Industries,Shooter,Up to 24 ,T,27-Oct-15,84,64
80 Days (2015),PC,"inkle, Cape Guy",Adventure,No Online Multiplayer,,29-Sep-15,84,71
Hearthstone: Heroes of Warcraft - The Grand Tournament,PC,Blizzard Entertainment,Strategy,,,24-Aug-15,84,42
Grim Fandango Remastered,VITA,Double Fine Productions,Adventure,,T,27-Jan-15,84,72
Axiom Verge,PS4,Tom Happ,Sci-Fi,No Online Multiplayer,E10+,31-Mar-15,84,78
Xenoblade Chronicles X,WIIU,Monolith Soft,Action RPG,Up to 32 ,T,4-Dec-15,84,91
SOMA,PC,Frictional Games,Horror,No Online Multiplayer,M,21-Sep-15,84,84
Grim Fandango Remastered,PC,Double Fine Productions,Adventure,No Online Multiplayer,T,26-Jan-15,84,80
Fallout 4,PC,Bethesda Game Studios,General,No Online Multiplayer,M,9-Nov-15,84,55
Madden NFL 16,XONE,EA Sports,Sports,,E,25-Aug-15,84,60
FIFA 16,XONE,EA Sports,Sports,,E,22-Sep-15,84,44
Final Fantasy X / X-2 HD Remaster,PS4,Virtuos,Miscellaneous,No Online Multiplayer,T,12-May-15,84,87
DmC: Devil May Cry Definitive Edition,PS4,"Ninja Theory, QLOC",Fantasy,,M,10-Mar-15,83,73
Life is Strange,PC,DONTNOD Entertainment,Action Adventure,No Online Multiplayer,M,20-Oct-15,83,87
Steins;Gate,VITA,5pb,Adventure,,M,5-Jun-15,83,87
Resident Evil HD Remaster,PS4,Capcom,Horror,No Online Multiplayer,M,20-Jan-15,83,83
ZEN Pinball 2: Portal Pinball,PS4,Zen Studios,Action,,E10+,26-May-15,83,49
Project CARS,PC,Slightly Mad Studios,Driving,,E,6-May-15,83,71
SteamWorld Dig,XONE,Image & Form,Action,,E10+,5-Jun-15,83,78
Stretchmo,3DS,Intelligent Systems,Puzzle,,E,14-May-15,83,78
Castle Crashers Remastered,XONE,The Behemoth,Action,,T,9-Sep-15,83,74
Helldivers,PC,Arrowhead Game Studios,Action,,T,7-Dec-15,83,69
Project CARS,PS4,Slightly Mad Studios,Driving,Up to 16 ,E,12-May-15,83,66
Mortal Kombat X,PS4,"Warner Bros. Interactive Entertainment, NetherRealm Studios",Action,Up to 10 ,M,14-Apr-15,83,78
Madden NFL 16,PS4,EA Sports,Sports,2,E,25-Aug-15,83,59
Tales From The Borderlands: Episode 3 - Catch A Ride,PS4,Telltale Games,Adventure,,M,23-Jun-15,83,76
Life is Strange: Episode 5 - Polarized,PC,DONTNOD Entertainment,Action Adventure,,M,20-Oct-15,83,83
"Invisible, Inc.",PC,Klei Entertainment,Sci-Fi,No Online Multiplayer,,12-May-15,82,79
Gears of War: Ultimate Edition,XONE,"Splash Damage, The Coalition",Action,Up to 8 ,M,25-Aug-15,82,76
